id,teff_16,teff,teff_84,e_teff,logg_16,logg,logg_84,e_logg,feh_16,feh,feh_84,e_feh,age_16,age,age_84,mass_16,mass,mass_84,radius_16,radius,radius_84,distance_16,distance,distance_84,luminosity_16,luminosity,luminosity_84,AV_16,AV,AV_84,nu_max_16,nu_max,nu_max_84,delta_nu_16,delta_nu,delta_nu_84
2722572759547782144,-26,5552,32,42,-0.01,4.54,0.01,0.008,-0.029,-0.382,0.028,0.040,-0.55,6.06,0.72,-0.01,0.81,0.01,-0.005,0.796,0.005,-1.373,236.323,1.558,-0.015,0.543,0.017,-0.027,0.279,0.030,-49.530,4070.275,53.299,-1.451,179.806,1.591
2722693465309126784,-95,6091,88,130,-0.02,4.04,0.02,0.030,-0.047,-0.327,0.044,0.065,-0.81,6.61,0.97,-0.04,1.06,0.03,-0.017,1.621,0.015,-3.373,484.012,3.140,-0.165,3.253,0.178,-0.061,0.377,0.059,-53.520,1218.512,47.833,-1.798,72.297,1.603
5607520129275382528,-61,10629,51,80,-0.00,4.43,0.00,0.005,-0.018,-0.446,0.029,0.034,-0.01,0.07,0.01,-0.02,2.00,0.02,-0.010,1.429,0.012,-3.028,497.422,3.832,-0.706,23.467,0.637,-0.016,0.957,0.012,-18.517,2248.291,16.580,-0.780,100.548,0.626
5607431549870336896,-43,6919,60,74,-0.00,4.39,0.01,0.008,-0.098,-1.147,0.183,0.207,-0.44,2.16,0.15,-0.01,1.06,0.02,-0.005,1.093,0.005,-0.871,281.335,1.205,-0.050,2.465,0.074,-0.016,0.379,0.025,-25.586,2514.029,50.729,-0.729,123.130,1.267
4433376465404343168,-120,6211,135,181,-0.01,4.40,0.02,0.023,-0.141,-0.095,0.062,0.155,-1.13,2.03,0.84,-0.02,1.09,0.04,-0.010,1.086,0.009,-1.295,321.696,1.111,-0.096,1.576,0.126,-0.074,0.461,0.075,-59.285,2757.557,108.720,-1.909,130.208,2.742
5806694354246991104,-70,7850,75,103,-0.01,4.23,0.02,0.019,-0.068,-0.369,0.111,0.130,-0.22,1.23,0.13,-0.03,1.44,0.04,-0.016,1.531,0.017,-4.747,550.087,4.841,-0.264,7.992,0.263,-0.027,0.136,0.028,-38.702,1647.966,59.759,-1.295,82.858,1.460
5806792421244550656,-25,6726,20,32,-0.00,4.42,0.00,0.004,-0.041,-1.218,0.055,0.068,-0.08,3.33,0.06,-0.00,0.96,0.00,-0.004,1.008,0.004,-0.646,162.251,0.642,-0.034,1.871,0.031,-0.015,0.188,0.012,-16.878,2728.922,18.602,-0.675,134.203,0.715
5807221501350836992,-50,7542,46,68,-0.02,4.11,0.03,0.038,-0.478,-1.720,0.405,0.627,-0.99,4.66,0.87,-0.05,1.03,0.08,-0.011,1.485,0.011,-0.640,225.588,0.626,-0.133,6.426,0.119,-0.016,0.253,0.014,-66.914,1264.911,97.498,-1.859,74.540,2.598
3197185616628441856,-8,6787,11,13,-0.00,4.48,0.00,0.003,-0.003,-0.596,0.005,0.006,-0.00,0.02,0.00,-0.00,1.09,0.00,-0.002,0.995,0.003,-1.608,345.213,2.091,-0.018,1.880,0.026,-0.001,0.191,0.002,-17.866,3173.668,19.211,-0.742,145.242,0.574
3204258568772528128,-47,8088,39,61,-0.01,4.51,0.01,0.008,-0.059,-1.269,0.064,0.087,-0.04,0.16,0.06,-0.01,1.22,0.01,-0.007,1.017,0.007,-2.587,403.436,2.891,-0.096,3.977,0.086,-0.014,0.895,0.012,-35.526,3097.378,36.303,-1.234,137.005,1.216
4476427950568136832,-180,5958,401,440,-0.03,4.30,0.04,0.048,-0.670,-0.387,0.219,0.705,-3.38,10.02,2.30,-0.06,0.89,0.06,-0.030,1.102,0.028,-6.968,323.314,7.277,-0.154,1.391,0.349,-0.121,0.517,0.209,-163.846,2226.834,182.997,-4.776,116.662,5.029
6358116649803226752,-29,5735,936,937,-0.01,4.24,0.03,0.031,-1.583,-0.252,0.095,1.586,-3.90,11.98,1.05,-0.04,0.89,0.03,-0.050,1.185,0.013,-1.597,373.020,1.564,-0.020,1.383,0.925,-0.000,0.001,0.515,-68.063,1948.774,63.788,-1.635,105.161,2.880
6382812303734782080,-21,6258,21,30,-0.02,4.29,0.02,0.029,-0.141,-0.404,0.116,0.183,-1.02,5.42,1.04,-0.04,1.01,0.04,-0.008,1.195,0.008,-1.567,421.522,1.567,-0.024,1.971,0.027,-0.000,0.000,0.000,-98.332,2109.829,101.179,-2.529,109.481,2.530
6679102203197535616,-23,6419,25,34,-0.00,4.35,0.00,0.005,-0.031,-0.474,0.035,0.047,-0.10,3.41,0.10,-0.01,1.05,0.01,-0.007,1.137,0.008,-2.261,363.048,2.094,-0.041,1.975,0.047,-0.017,0.338,0.020,-21.859,2383.102,23.556,-0.898,118.917,0.853
6679714115779140096,-13,5920,13,19,-0.01,4.04,0.01,0.015,-0.044,-0.381,0.049,0.065,-0.34,9.21,0.29,-0.01,0.96,0.02,-0.014,1.554,0.014,-3.996,470.527,4.080,-0.045,2.671,0.046,-0.000,0.000,0.000,-21.141,1213.875,35.104,-0.878,73.675,1.264
6399322707776577792,-5,5901,11,12,-0.00,4.57,0.00,0.001,-0.011,-0.405,0.008,0.013,-0.02,0.84,0.04,-0.00,0.90,0.00,-0.001,0.817,0.001,-0.417,259.237,0.289,-0.003,0.728,0.006,-0.005,0.246,0.008,-9.633,4143.856,7.050,-0.297,181.109,0.280
6399440007626612736,0,4118,0,0,-0.00,4.55,0.00,0.000,-0.000,-0.852,0.000,0.000,-0.00,0.02,0.00,-0.00,0.52,0.00,-0.000,0.636,0.000,-0.009,102.775,0.012,-0.000,0.104,0.000,-0.000,0.232,0.000,-0.630,4757.009,0.590,-0.026,200.000,0.023
6383159401516027392,-17,5643,18,25,-0.02,4.39,0.02,0.027,-0.105,-0.166,0.093,0.140,-1.90,10.74,1.93,-0.03,0.87,0.03,-0.007,0.983,0.007,-0.899,308.861,0.930,-0.007,0.882,0.007,-0.000,0.000,0.000,-112.895,2830.096,125.509,-2.491,136.781,3.022
6395169680559620480,-12,5176,12,17,-0.01,4.62,0.01,0.012,-0.052,-0.283,0.054,0.075,-1.53,2.48,1.64,-0.01,0.77,0.01,-0.004,0.712,0.004,-0.405,189.634,0.380,-0.001,0.328,0.001,-0.000,0.000,0.000,-89.305,4995.023,92.016,-2.097,206.331,2.070
6383227816050831488,-11,5660,15,18,-0.00,4.07,0.01,0.006,-0.034,-0.077,0.019,0.039,-0.16,10.81,0.17,-0.01,0.97,0.01,-0.009,1.511,0.008,-2.402,489.639,2.224,-0.020,2.114,0.021,-0.000,0.000,0.001,-8.458,1329.593,14.387,-0.414,77.299,0.579
2580103712177389824,-11,5741,21,24,-0.01,4.23,0.01,0.013,-0.024,-0.273,0.026,0.035,-0.71,13.14,0.26,-0.01,0.87,0.01,-0.009,1.187,0.008,-1.898,350.552,1.912,-0.017,1.380,0.029,-0.000,0.000,0.012,-29.885,1926.406,44.740,-1.131,104.486,1.508
2580341451502706048,-53,6756,74,91,-0.01,4.28,0.01,0.009,-0.103,-0.947,0.074,0.127,-0.24,3.61,0.22,-0.01,1.06,0.01,-0.006,1.241,0.007,-0.680,210.885,0.992,-0.072,2.886,0.124,-0.026,0.350,0.036,-20.907,1972.326,30.318,-0.785,103.424,0.812
2580493660848135040,-6,5150,6,9,-0.01,4.63,0.01,0.009,-0.018,-0.321,0.020,0.027,-0.92,1.56,1.03,-0.01,0.76,0.01,-0.003,0.696,0.002,-0.317,135.383,0.313,-0.001,0.307,0.001,-0.000,0.000,0.000,-65.201,5171.418,73.570,-1.566,211.901,1.898
3255757322593979264,-21,4758,23,31,-0.01,4.65,0.01,0.016,-0.020,-0.348,0.029,0.035,-4.22,6.91,2.14,-0.01,0.67,0.02,-0.002,0.644,0.002,-0.257,135.591,0.250,-0.004,0.191,0.004,-0.032,0.104,0.029,-80.933,5507.849,172.850,-1.903,222.994,4.011
6731974384492756352,-222,6641,265,345,-0.04,4.14,0.05,0.062,-0.513,-1.783,0.520,0.731,-2.68,9.48,2.56,-0.05,0.84,0.08,-0.021,1.295,0.019,-1.406,276.163,1.490,-0.330,2.946,0.398,-0.119,0.610,0.141,-104.076,1455.364,151.381,-3.058,88.201,4.121
6482641946584453504,-15,7400,15,21,-0.02,4.21,0.01,0.021,-0.185,-1.588,0.101,0.211,-0.36,4.31,0.56,-0.03,1.03,0.02,-0.014,1.322,0.014,-6.331,650.832,6.444,-0.086,4.715,0.091,-0.000,0.000,0.000,-58.544,1612.738,47.266,-1.811,88.682,1.583
