,dr2_source_id,dr3_source_id,tic_id,parallax,parallax_unc,galex_fuv,galex_fuv_unc,galex_fafl,galex_nuv,galex_nuv_unc,galex_nafl,skymapper_u,skymapper_u_unc,skymapper_v,skymapper_v_unc,skymapper_g,skymapper_g_unc,skymapper_r,skymapper_r_unc,skymapper_i,skymapper_i_unc,skymapper_z,skymapper_z_unc,sdss_u,sdss_u_unc,sdss_g,sdss_g_unc,sdss_r,sdss_r_unc,sdss_i,sdss_i_unc,sdss_z,sdss_z_unc,gaia_g,gaia_g_unc,gaia_bp,gaia_bp_unc,gaia_rp,gaia_rp_unc,tmass_j,tmass_j_unc,tmass_h,tmass_h_unc,tmass_k,tmass_k_unc,wise_w1,wise_w1_unc,wise_w2,wise_w2_unc,allsky_w1,allsky_w1_unc,allsky_w2,allsky_w2_unc
0,6221170896015532032,6221170896015532032,83701130,1.65894888076633,0.01880133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.529802,0.0003,,,,,10.7410001754761,0.0226000007241964,10.5310001373291,0.0197000000625848,10.5179996490479,0.0211999993771314,10.4289999008179,0.0240000002086162,10.4379997253418,0.0219999998807907,,,,
1,6173329293961719936,6173329293961719936,1055600097,1.80150584923197,0.05962297,,,,,,,14.15680027,0.0061,13.7833004,0.0089,12.6272001266479,0.0074000000022351,,,,,,,,,,,,,,,,,12.342894,0.0003,,,,,,,,,,,,,,,,,,
2,3492835875201147648,3492835875201147648,428657216,2.20138813268876,0.025787255,21.3374996185303,0.286500006914139,0,15.3780002593994,0.0078999996185302,256,12.57429981,0.0061,,,11.2435998916626,0.0060999998822808,11.0468998,0.0074,10.9673996,0.008,10.9861002,0.0053,,,,,,,,,,,11.035781,0.0003,,,,,10.173999786377,0.0165999997407197,9.94699954986572,0.0215000007301569,9.86900043487549,0.0185000002384185,9.84700012207031,0.0230000000447034,9.87600040435791,0.0199999995529651,,,,
3,6305600714581758336,6305600714581758336,398175890,4.6383907005769,0.0867183,,,0,15.3205995559692,0.0102000003680586,0,11.68789959,0.0074,11.31219959,0.0078,,,,,,,,,,,,,,,,,,,9.843466,0.0003,,,,,8.76799964904785,0.0220999997109174,8.47599983215332,0.0148999998345971,8.42700004577637,0.0144999995827674,8.33100032806396,0.0230000000447034,8.36200046539307,0.0209999997168779,,,,
4,6308468820725994496,6308468820725994496,432216886,2.10432243735171,0.015230859,,,0,17.4307994842529,0.0405000001192092,0,,,,,12.3526000976562,0.0052999998442828,12.04930019,0.0061,11.86410046,0.0075,,,,,,,,,,,,,12.063553,0.0003,,,,,10.9619998931885,0.0229000002145767,10.5970001220703,0.0222999993711709,10.5520000457764,0.0239000003784894,10.4720001220703,0.0230000000447034,10.5,0.0209999997168779,,,,
5,6643549593495714560,6643549593495714560,319739134,,,,,,,,,13.7517004,0.022,,,,,,,,,12.07830048,0.0085,,,,,,,,,,,,,,,,,11.2399997711182,0.0168999992311,10.9720001220703,0.0190999992191791,10.9409999847412,0.0207000002264976,10.9020004272461,0.0240000002086162,10.9169998168945,0.0209999997168779,,,,
6,3518363747762968832,3518363752059100416,415780572,3.5139836704652,0.029949697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.186784,0.0003,,,,,10.2550001144409,0.0190999992191791,10.0089998245239,0.0197000000625848,9.91600036621094,0.0194000005722045,,,,,,,,
7,6325122229999166592,6325122229999166592,23766218,5.20748664672457,0.014793806,,,0,18.0699005126953,0.0274999998509883,0,14.23719978,0.0067,,,12.6156997680664,0.0052999998442828,12.2524004,0.0047,,,,,,,,,,,,,,,12.251381,0.0003,,,,,10.9580001831055,0.0210999995470047,10.5920000076294,0.0258000008761882,10.4790000915527,0.0210999995470047,10.4119997024536,0.0230000000447034,10.4499998092651,0.0199999995529651,,,,
8,6253800213541598208,6253800213541598208,73875866,7.116948321566,0.016570704,,,,,,,,,,,10.8028001785278,0.0211999993771314,10.52729988,0.0061,,,10.32830048,0.009,,,,,,,,,,,10.52477,0.0003,,,,,9.43099975585938,0.0226000007241964,9.13799953460693,0.0297999996691942,9.04100036621094,0.0179999992251396,,,,,,,,
9,3530600212668419200,3530600212668419200,156598083,2.73692594888698,0.018922446,,,0,16.559700012207,0.0133999995887279,0,13.8071003,0.0076,13.42440033,0.0053,12.4980001449585,0.0052999998442828,12.29020023,0.0053,,,,,,,,,,,,,,,12.281264,0.0003,,,,,11.2559995651245,0.0185000002384185,11.0329999923706,0.0216000005602836,10.9940004348755,0.0226000007241964,10.9250001907349,0.0219999998807907,10.960000038147,0.0199999995529651,,,,
10,6778044157907704576,6778044157907704576,262470398,2.27797094504851,0.026129965,19.8864994049072,0.14640000462532,0,14.9035997390747,0.0065000001341104,1,12.63000011,0.0196,12.13500023,0.0076,11.3684997558594,0.0052999998442828,11.24339962,0.0053,11.23460007,0.0047,11.28569984,0.0053,,,,,,,,,,,11.222872,0.0003,,,,,10.5310001373291,0.0185000002384185,10.3439998626709,0.0206000003963708,10.3059997558594,0.0215000007301569,,,,,,,,
11,6779899725516109952,6779899725516109952,441430622,3.31399557894682,0.09463579,,,0,16.8876991271973,0.0210999995470047,1,13.62380028,0.0074,13.28180027,0.0152,12.2590999603271,0.0074000000022351,12.01140022,0.0082,11.87380028,0.0075,11.87040043,0.0053,,,,,,,,,,,12.013845,0.0003,,,,,11.0100002288818,0.019200000911951,10.6969995498657,0.0222999993711709,10.6800003051758,0.0211999993771314,10.6219997406006,0.0230000000447034,10.6400003433228,0.0209999997168779,,,,
