,dr2_source_id,dr3_source_id,tic_id,parallax,parallax_unc,galex_fuv,galex_fuv_unc,galex_fafl,galex_nuv,galex_nuv_unc,galex_nafl,skymapper_u,skymapper_u_unc,skymapper_v,skymapper_v_unc,skymapper_g,skymapper_g_unc,skymapper_r,skymapper_r_unc,skymapper_i,skymapper_i_unc,skymapper_z,skymapper_z_unc,sdss_u,sdss_u_unc,sdss_g,sdss_g_unc,sdss_r,sdss_r_unc,sdss_i,sdss_i_unc,sdss_z,sdss_z_unc,gaia_g,gaia_g_unc,gaia_bp,gaia_bp_unc,gaia_rp,gaia_rp_unc,tmass_j,tmass_j_unc,tmass_h,tmass_h_unc,tmass_k,tmass_k_unc,wise_w1,wise_w1_unc,wise_w2,wise_w2_unc,allsky_w1,allsky_w1_unc,allsky_w2,allsky_w2_unc
17,2051734017924927104,2051734017924927104,137488092,3.55782885662918,0.0660679,,,,,,,,,,,,,,,,,,,12.996,0.01374453,,,,,,,11.41604,0.01935981,11.566316,0.0003,,,,,10.625,0.0186999998986721,10.3769998550415,0.024100000038743,,,10.2559995651245,0.0230000000447034,10.293999671936,0.0199999995529651,,,,
18,2051747456887602304,2051747456887602304,137098539,0.871206315866864,0.010576482,,,,,,,,,,,,,,,,,,,13.6814,0.01159514,,,,,,,12.2707,0.01165732,12.286785,0.0003,,,,,11.5279998779297,0.0161000005900859,11.3649997711182,0.0197999998927116,11.3529996871948,0.0190999992191791,11.3140001296997,0.0230000000447034,11.3190002441406,0.0209999997168779,,,,
19,2076585836876811008,2076585836876811008,139155207,8.4721166072689,0.01039037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.329291,0.0003,,,,,10.6440000534058,0.019200000911951,10.0880002975464,0.0216000005602836,10.003999710083,0.0190999992191791,9.8730001449585,0.0260000005364418,9.92099952697754,0.0240000002086162,,,,
20,2076828657151446656,2076828657151446656,239227681,4.20903268322944,0.00893325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.719687,0.0003,,,,,10.6040000915527,0.0171000007539987,10.2829999923706,0.0146000003442168,10.2489995956421,0.0200999993830919,10.1920003890991,0.0230000000447034,10.2360000610352,0.0209999997168779,,,,
21,2052802262192546816,2052802262192546816,122375672,1.10943143021445,0.0115582775,,,,,,,,,,,,,,,,,,,13.12671,0.01501871,,,,,,,,,11.672258,0.0003,,,,,10.9130001068115,0.013600000180304,10.7250003814697,0.0124000003561377,10.7069997787476,0.0131000000983476,10.6759996414185,0.0230000000447034,10.6890001296997,0.0199999995529651,,,,
22,2100546497343754112,2100546497343754112,121465834,1.92718802452558,0.009930012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.043303,0.0003,,,,,11.1479997634888,0.0203000009059906,10.8909997940063,0.0214000009000301,10.8450002670288,0.0162000004202127,10.7829999923706,0.0230000000447034,10.8210000991821,0.0199999995529651,,,,
23,2100958809905294080,2100958809905294080,122140820,2.77353138572987,0.010224243,,,,,,,,,,,,,,,,,,,13.58524,0.01729662,,,,,,,11.92615,0.01404942,12.126099,0.0003,,,,,11.0670003890991,0.0179999992251396,10.8050003051758,0.0186999998986721,10.7170000076294,0.0167999994009733,10.7019996643066,0.0230000000447034,10.7279996871948,0.0199999995529651,,,,
24,2077667962475652864,2077667962475652864,137757776,5.11004083668144,0.03447374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1108465,0.0003,,,,,9.1850004196167,0.0186999998986721,,,8.88199996948242,0.0163000002503395,8.80799961090088,0.0230000000447034,8.83800029754639,0.0189999993890523,,,,
25,3632489004572413952,3632489004572617088,709015,5.4366807696812,0.026312444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5907345,0.0003,,,,,10.431,0.0199,10.091,0.0212,9.994,0.0223,9.9709997177124,0.0219999998807907,10.0220003128052,0.0189999993890523,,,,
26,2103804517796278528,2103804522095991424,120576056,3.92407247474536,0.0120162135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.402066,0.0003,,,,,9.47200012207031,0.0161000005900859,9.17300033569336,0.018300000578165,9.12800025939941,0.0160000007599592,9.08600044250488,0.0230000000447034,9.10599994659424,0.0199999995529651,,,,
