source_id,tic_id,ra_gaia,dec_gaia,pmra,pmdec,parallax,rv,rv_unc,teff,teff_unc,logg,logg_unc,feh,feh_unc,snr_c1_iraf,snr_c2_iraf,snr_c3_iraf,snr_c4_iraf,tmag,Mast,Rast
2966762717143706112,93278106,86.0057245178418,-20.3160391789169,15.593736305191,-18.9002065679279,2.98706805084535,86.2310028076172,0.108999997377396,5733.7773,75.8259989462263,4.257465,0.177284329612932,-0.7628999,0.0565042443027643,63.9589496869,81.6002777204,109.379591584,90.6237505327,11.6786866006718,0.915358568795657,1.1835334266384
3475197887624871424,443673673,187.111293567791,-27.8527798293097,-6.55772716969953,-2.19992008603057,2.46129766206724,NA,NA,6142.573,70.5053843975013,4.238174,0.178749486020692,-0.5706959,0.0441599756112634,131.695600855,154.259265288,227.422579681,163.273900269,11.734798068877,1.06574338283401,1.30462750850929
3475374801622667008,443626459,186.469250801209,-27.7542990799996,-88.0961730134662,-58.0773816127968,1.52855825796259,NA,NA,7129.398,69.6343299049734,4.0842075,0.18216736988962,-2.1801643,0.082479080119924,152.839306057,156.038401361,203.85357364,197.254096257,11.8500895561669,0.958045158529841,1.53394430542601
5673742546381029888,332710976,150.32529201282,-16.8766759283911,-38.9761108661396,-5.35139182015454,2.30977186279246,-15.5260000228882,0.136999994516373,6163.4,91.6319693754216,4.2669654,0.180138064572322,-0.59871626,0.103910804139677,22.6941534005,36.1461736472,48.2109882468,45.9298240841,11.8326293208067,1.05392250349627,1.2560823966572
5673622248641061376,422167344,150.774036726586,-17.1767004627297,-3.52900646900965,-11.9023617658188,1.97903765964277,19.3939990997314,0.206000000238419,5788.9023,107.332561020698,4.0116954,0.185876876548338,-0.73688126,0.125408187717888,16.2885285835,26.5063425131,38.7863605347,37.398044023,11.8703804880824,1.02740903909918,1.6673904221144
5673622008122894336,422167864,150.810051088562,-17.1933728285116,-41.4677476332122,18.8207485964556,1.55202731727954,31.7609996795654,0.221000000834465,6310.195,99.3800814858078,4.0140343,0.186252021894862,-0.62890005,0.135316474719591,19.5719112218,28.9862059433,40.2030157864,37.1398093848,11.8643965709623,1.19319070407852,1.79459015618397
3082706561889580288,122976467,118.065720370623,-0.221199770919993,-13.7744307509146,0.42304511769709,1.41147068853505,12.921406930542,0.863666593727257,6692.3335,74.2886862064202,4.0599866,0.180023360131141,-0.5320296,0.0769638053572243,92.3391760935,78.215863733,143.575791714,151.484713013,11.800091497776,1.30030332437518,1.7753259423544
5511274099760624256,122987396,113.277669055902,-43.6185360477219,-5.28916358859851,4.09777682725254,2.19707182382024,23.5763560966797,1.8566207155891,6624.592,77.6510912553613,4.1809025,0.178007259111331,-0.63030005,0.129945850697602,61.4701741868,62.9014489792,105.968708818,88.411403894,11.5783597492262,1.19450860966661,1.48109971040988
5221012483253252608,287584908,124.723340197101,-72.5743867175535,0.701528264812412,43.5905530896574,2.91951074775098,-42.5820007324219,0.111000001430511,5844.7085,94.141303350046,4.341736,0.181908669885468,-0.54323006,0.0933563090327053,40.8459248409,23.2046683977,69.9943185366,55.7409674806,11.8745389864752,0.965758484462049,1.10028680981584
5363156551920019712,147090401,161.679458039815,-47.5694689771341,-10.4625716470563,2.61291438129773,1.36477045914851,-10.249212549408,2.35885814785056,6775.286,80.2134854458829,4.0282955,0.180936037741556,-0.60088205,0.166297904772982,48.3072395321,63.9267501923,81.8361359422,66.030669827,11.8949204758229,1.31975336855199,1.85923504715284
6082437856020599808,438714116,201.333113197112,-49.8283562288579,-20.4925061894738,-30.7402050590295,2.2576856286719,60.109001159668,0.119000002741814,5653.9595,76.7834127720607,4.062404,0.181898329768687,-0.5764446,0.0546544588789987,53.384359176,81.9525691935,113.694673977,96.1246734198,11.8964201098246,1.0073266923842,1.54912499839352
6113328016723128832,166145520,205.960282901227,-39.9106534330613,-30.0904266130366,-14.918577638018,2.48424103074234,6.58699989318848,0.120999999344349,5780.1514,77.4594399269204,4.176329,0.180504056185676,-0.68692017,0.0593769756621163,59.9433953627,68.7929630301,99.759685241,95.7583583749,11.8329072972234,0.969935732514175,1.33612184957092
5820119803536721664,447021437,233.870953910174,-69.3949935821807,-8.08481325156615,-4.67678218601074,1.40875024987225,-24.3146834259033,2.28264500983248,7181.176,78.4971928209816,4.0890427,0.176951292386941,-0.68768644,0.165421093087643,53.8024975573,73.3714872984,94.1508301207,75.0219442343,11.7961071823311,1.36643727375799,1.76782806053137
5282393269630122240,349195101,108.80414447749,-64.9412545696979,-10.9316426120554,6.62473549302672,1.03848525418125,31.3722782233574,0.91406118258113,7672.5527,70.6923064643066,4.007313,0.180878349454659,-0.6006932,0.0763750505323316,118.393543023,113.406309357,146.95385087,129.106203602,11.7144335010683,1.580379527864,2.09017355423231
5210289560525463296,281922784,129.749314660231,-76.8220944232272,-5.17585156777932,18.4809178605126,1.61041287119736,24.2496541325989,3.30439893208602,6764.7026,92.520964850211,4.0312443,0.180284195355743,-0.53540516,0.217892594875494,35.0627733407,36.2746057381,52.7463806005,49.4073658787,11.67997506826,1.33536104723419,1.86121698824789
6141414903814007040,30544896,199.121884810623,-38.8198925630864,-19.0784670678055,-1.31989188385413,1.96154959946483,-18.2854794683838,0.477191647570223,6413.49,77.585583539442,4.2561607,0.191127166503798,-0.55858517,0.0702473832105117,48.7301970771,65.6892776541,86.8554788247,70.0457875594,11.926458785391,1.13020662354938,1.31781485535011
5503529346012287232,238132505,105.794788344034,-53.0922214054348,13.872304085757,-11.7647446975662,2.13449005197011,-21.7639999389648,0.0989999994635582,5997.361,77.977812936952,4.0029025,0.1777320477815,-0.51216793,0.0637298661781909,47.3719005085,65.5177091064,90.8932924514,77.1166093168,11.5074013542618,1.14480854807562,1.7731213909211
5504562307124695808,238120900,105.334657245548,-52.2847897886939,20.2093984626663,16.4894905429638,2.21088440156283,37.4179992675781,0.118000000715256,5742.2803,90.2909982828525,4.1358304,0.180259710754384,-0.6224599,0.0833049834889922,33.0484356637,40.549995589,53.5099731887,50.9087367122,11.9863260289728,0.990065329799765,1.41244684069644
5440143329602450816,25711768,145.124558965474,-31.5429354735122,-2.44474873363997,-17.9142301840853,2.15761787883519,-23.1040000915527,0.14300000667572,6201.866,83.8319085548389,4.0806155,0.180797253604796,-0.52423334,0.0857895804232748,34.7572590866,46.4632861302,64.4445877958,53.6998180569,11.5007970800829,1.15906143521018,1.63188180753392
