source_id,tic_id,ra_gaia,dec_gaia,pmra,pmdec,parallax,rv,rv_unc,teff,teff_unc,logg,logg_unc,met,met_unc,snr,tmag,Mast,Rast
6221170896015532032,83701130,216.737106088695,-29.6745908414387,-5.40232653211662,-6.55625521853637,1.66294016605763,34.154,4.723,5583.5,756,4.81,0.95,-5.015,0.61,4,11.2083964096756,0.296916256196452,0.39835053361435
6173329293961719936,1055600097,209.436542396292,-31.0774775384454,-5.38063267644192,7.36868915387397,1.46515458430033,25.542,6.179,3803.13,158,4.52396,0.26,-0.525742,0.18,14,11.90201300578,0.457452283025726,0.595125038786411
3492835875201147648,428657216,179.578495783265,-23.5900870576826,-36.0938363071069,2.07005008369072,2.08491039675756,-10.555,11.178,6942,529,4.4169,0.48,-1.16069,0.4,15,10.6754791697144,1.04851308571594,1.07267634577731
6305600714581758336,398175890,224.993858810516,-17.0500441671469,-73.0849599305563,-31.6822524724209,4.69365818250286,-41.824,86.929,5583.5,756,4.81,0.95,-5.015,0.61,0,9.3995754639141,0.296916256196452,0.39835053361435
6308468820725994496,432216886,226.983640855057,-14.9915315590335,-15.1300733939594,-5.43446418724838,2.05963437492076,-30.051,3.257,3987.6,87,4.43225,0.17,-0.98275,0.16,29,11.5963893332697,0.457418567908685,0.669153912220525
6643549593495714560,319739134,291.842573625466,-54.6250763647332,-5.08095598507592,5.17898022051573,-3.45415104202018,36.772,7.209,6066.94,529,4.3476,0.48,-0.833999,0.4,16,11.9347904853584,0.951714109860598,1.09320144598508
3518363747762968832,415780572,184.445157782216,-18.6803830954894,-11.8431827180144,-8.91314041148863,3.56345116399051,-12.859,5.519,6907.74,197,4.43225,0.27,-0.576417,0.15,16,10.8005846121226,1.18849159880253,1.10919186572188
6325122229999166592,23766218,218.312948136203,-10.7290316164265,-14.0019071378564,5.68484037957602,5.22474735551658,15.962,3.603,3987.6,87,4.43225,0.17,-0.743,0.16,27,11.7327893126364,0.483647046350068,0.684748025963677
6253800213541598208,73875866,233.291780692559,-19.7482315647939,-16.2771587454403,-23.6285113070736,7.10061094262063,12.397,11.764,7415.19,197,4.43225,0.27,-0.622183,0.15,16,10.0664975636719,1.29642612735306,1.16119905057731
3530600212668419200,156598083,190.726793806096,-10.7668581071689,-37.9295156412933,8.65260763182065,2.82452856822935,-21.912,3.676,6621.64,174,4.37845,0.27,-0.787826,0.2,29,11.8872805981235,1.08099042941733,1.1275064517646
